bin_index,delta_chi2_center,n_total,abs_u0_q16,abs_u0_median,abs_u0_q84,tE_q16,tE_median,tE_q84,rho_q16,rho_median,rho_q84,piE_q16,piE_median,piE_q84,sigma_u0_q16,sigma_u0_median,sigma_u0_q84,rel_sigma_tE_q16,rel_sigma_tE_median,rel_sigma_tE_q84,rel_sigma_rho_q16,rel_sigma_rho_median,rel_sigma_rho_q84,rel_sigma_piE_parallel_q16,rel_sigma_piE_parallel_median,rel_sigma_piE_parallel_q84
12,8.05120292602945,15326,0.11466801116329658,0.41127770222290205,0.852644031386569,31.425454409519705,66.41319498548619,215.58573692369853,9.825943254306351e-07,0.06571077766049041,0.3400908430407348,0.22177102020096817,0.5822330452077265,1.4958125328243856,0.12667421084195812,0.6439424158301364,4.169259577685388,0.15944733317775267,0.9289412619489229,5.355811697931939,5.911191480889591,69.20579908638572,35518016.66440325,0.38843204840795365,0.8828228358636626,3.0009351473961865
13,12.416608401582662,14661,0.12621473596852342,0.41205508150021514,0.8567005728358648,34.099046579487606,74.42239248111775,229.99112655854802,3.605326438130914e-07,0.055280044695403645,0.31313008577220797,0.2122607850925835,0.5270484376918877,1.2715901106771856,0.11189073009138861,0.5642401258245285,3.242194457317599,0.1504680848212804,0.8166579033861279,4.182897237619,6.205976096387717,78.88007588376772,64276051.83774025,0.3335560303431382,0.7278571775975597,2.270943484605086
14,18.8874539077849,14507,0.12965982721873132,0.42868375897242783,0.8676717489444843,36.62328682379494,80.02750446433826,239.03690310767465,1.6538480127933586e-07,0.047037340333933246,0.29992384424129037,0.20997869938342043,0.49985732109632564,1.1513892807868849,0.0992226789267106,0.47688716887928745,2.7008139383110787,0.13940616281291596,0.7046305509009609,3.3783542689765866,6.2651662250330595,86.43683819414795,93315909.92593206,0.2880120467550529,0.6216625407558761,1.8600185376625729
15,28.479195568353415,14846,0.1364745817041889,0.43798108748159004,0.8629330681838695,39.05006550147715,84.9128735913827,238.62280341183634,1.4969687259755144e-07,0.043140863963646456,0.28842361452676996,0.21195336728974218,0.4886224893899183,1.0957307911825083,0.08778863206857589,0.42363441935630125,2.2393912810199885,0.12874332177310244,0.600695857294434,2.824893430461335,6.974786230630017,88.64170861199969,94965861.87896988,0.24060292075036435,0.5136326736869173,1.5219951601840203
16,42.69704515151887,15005,0.13777527841927756,0.43528475979471554,0.8575305406575144,40.960775173737126,88.85430118427222,239.90892999501327,1.3049901694175007e-07,0.03784795772520127,0.26731412517689396,0.21748598574630185,0.4845663288492132,1.0690715809026976,0.07986484391495521,0.36702444241247334,1.6980060620462134,0.12161672469347849,0.5212621968507294,2.172930817047424,6.8182006519302965,92.15611057356155,99603959.4854085,0.20482485761700248,0.42903288814538854,1.2396436496875196
17,63.772179774935864,14915,0.13364615371625993,0.4398507252525774,0.8539556836390023,43.703967630992466,95.30741472171283,246.47077578880936,1.1685868786773295e-07,0.03150467033854297,0.2520864294714605,0.2141017952430201,0.4796521872543224,1.0299753792981075,0.07134533490645552,0.3122930437410957,1.4631633682818665,0.1150987321632127,0.45361793698704445,1.8218045492314703,7.224317186137567,97.12572596115058,101681490.57518618,0.17281790763825602,0.3650866483518942,1.0346503377532594
18,95.01187582018416,15142,0.1440807980876746,0.4391025280383253,0.8488905338949253,45.62071835465281,99.60664970437463,246.6660089052885,1.1177562998036759e-07,0.028119889678218532,0.2482759442144533,0.22028286267705338,0.4867620222789045,1.0297875780754737,0.06383833697581051,0.27459716947298185,1.178627048537663,0.10291178429294626,0.39651273439612716,1.4896652314058734,7.191670170642057,102.82745142836957,96284459.45076393,0.14529336596776057,0.30484047798474806,0.8489339654259044
19,141.31851283284362,14767,0.14444140160176308,0.45254125251937877,0.8484294302400557,48.53105990972917,104.70268138149082,245.54668052553708,1.0598199552657103e-07,0.025072826025893814,0.2348368873018185,0.2217958453004146,0.4923482524764267,1.0072112443436219,0.05855374166980209,0.24573156126222306,1.008775837358154,0.10114608847734233,0.34672773740903895,1.215759050494334,7.1645578716176335,103.18762819646264,101381552.95462804,0.1251672582395312,0.2621938974023205,0.7103440295974409
20,209.9588935944345,14669,0.14585772554515875,0.4523241882840666,0.8488804579150944,50.87542683981003,108.47708531385604,244.89096367626874,1.062060958566264e-07,0.02199943611115682,0.22161587202667418,0.2221370240576189,0.48049778407626353,1.0025205304679183,0.04838548027812905,0.20530761477023665,0.7840472319071413,0.09054359347140731,0.2854926529672856,0.9486492133139142,7.322338146797374,116.38332802769789,91819103.04161708,0.10491070861166647,0.21720555822375864,0.5809912690369247
21,311.70460814088506,14367,0.14762855263377275,0.4469134396856548,0.8330091651917914,53.1209547979186,113.75961142593631,260.0380687423311,1.073379240091325e-07,0.022391223820665936,0.2027812215600981,0.22681307780383378,0.48518146741501134,1.0015912402568647,0.04554316706426309,0.17690525547545521,0.6447120680398496,0.08356562933691812,0.2542945859369363,0.7894322239087465,7.418514886552381,102.40442869379534,86890715.46531737,0.08956532086023518,0.1858833075868433,0.47960265420884374
