tE_bin,piE_bin,tE_left_days,tE_right_days,tE_center_days,piE_left,piE_right,piE_center,n_positive,n_detected,n_confused,detection_fraction,shown_in_heatmap
6,14,14.620088691064332,19.623885760698847,16.93820977213152,3.6937523489595185,5.6345382276956855,4.5620816316516235,113,69,44,0.6106194690265486,True
6,15,14.620088691064332,19.623885760698847,16.93820977213152,5.6345382276956855,8.595059451754269,6.959108495362503,19,16,3,0.8421052631578947,False
6,16,14.620088691064332,19.623885760698847,16.93820977213152,8.595059451754269,13.111109374690052,10.615590636131074,1,1,0,1.0,False
6,17,14.620088691064332,19.623885760698847,16.93820977213152,13.111109374690052,20.0,16.193275996344934,0,0,0,,False
7,0,19.623885760698847,26.340256922266605,22.735395152713245,0.01,0.015254239308390182,0.012350805361752804,1,0,1,0.0,False
7,1,19.623885760698847,26.340256922266605,22.735395152713245,0.015254239308390182,0.02326918168776363,0.01884021406395259,2,0,2,0.0,False
7,2,19.623885760698847,26.340256922266605,22.735395152713245,0.02326918168776363,0.035495366597555714,0.028739313395283128,7,0,7,0.0,False
7,3,19.623885760698847,26.340256922266605,22.735395152713245,0.035495366597555714,0.05414548164181543,0.043839636409047256,33,0,33,0.0,False
7,4,19.623885760698847,26.340256922266605,22.735395152713245,0.05414548164181543,0.08259481344323,0.0668740304976422,98,0,98,0.0,True
7,5,19.623885760698847,26.340256922266605,22.735395152713245,0.08259481344323,0.12599210498948735,0.10201124647276179,220,0,220,0.0,True
7,6,19.623885760698847,26.340256922266605,22.735395152713245,0.12599210498948735,0.19219137204774617,0.1556103965842683,475,6,469,0.01263157894736842,True
7,7,19.623885760698847,26.340256922266605,22.735395152713245,0.19219137204774617,0.29317331822241716,0.23737182283699315,937,38,899,0.04055496264674493,True
7,8,19.623885760698847,26.340256922266605,22.735395152713245,0.29317331822241716,0.447213595499958,0.3620926590624291,1559,115,1444,0.07376523412443874,True
7,9,19.623885760698847,26.340256922266605,22.735395152713245,0.447213595499958,0.6821903207721969,0.5523448073149632,2247,359,1888,0.159768580329328,True
7,10,19.623885760698847,26.340256922266605,22.735395152713245,0.6821903207721969,1.040629440692656,0.8425599871529117,2471,716,1755,0.2897612302711453,True
7,11,19.623885760698847,26.340256922266605,22.735395152713245,1.040629440692656,1.5874010519682002,1.2852611675704677,2205,925,1280,0.41950113378684806,True
7,12,19.623885760698847,26.340256922266605,22.735395152713245,1.5874010519682002,2.4214595525113247,1.960568142390089,1291,746,545,0.5778466305189776,True
7,13,19.623885760698847,26.340256922266605,22.735395152713245,2.4214595525113247,3.6937523489595185,2.990697562442443,475,366,109,0.7705263157894737,True
7,14,19.623885760698847,26.340256922266605,22.735395152713245,3.6937523489595185,5.6345382276956855,4.5620816316516235,111,88,23,0.7927927927927928,True
7,15,19.623885760698847,26.340256922266605,22.735395152713245,5.6345382276956855,8.595059451754269,6.959108495362503,26,19,7,0.7307692307692307,False
7,16,19.623885760698847,26.340256922266605,22.735395152713245,8.595059451754269,13.111109374690052,10.615590636131074,1,1,0,1.0,False
7,17,19.623885760698847,26.340256922266605,22.735395152713245,13.111109374690052,20.0,16.193275996344934,0,0,0,,False
8,0,26.340256922266605,35.35533905932737,30.516695666413995,0.01,0.015254239308390182,0.012350805361752804,1,0,1,0.0,False
8,1,26.340256922266605,35.35533905932737,30.516695666413995,0.015254239308390182,0.02326918168776363,0.01884021406395259,4,0,4,0.0,False
8,2,26.340256922266605,35.35533905932737,30.516695666413995,0.02326918168776363,0.035495366597555714,0.028739313395283128,14,0,14,0.0,False
8,3,26.340256922266605,35.35533905932737,30.516695666413995,0.035495366597555714,0.05414548164181543,0.043839636409047256,44,0,44,0.0,False
8,4,26.340256922266605,35.35533905932737,30.516695666413995,0.05414548164181543,0.08259481344323,0.0668740304976422,151,2,149,0.013245033112582781,True
8,5,26.340256922266605,35.35533905932737,30.516695666413995,0.08259481344323,0.12599210498948735,0.10201124647276179,394,12,382,0.030456852791878174,True
8,6,26.340256922266605,35.35533905932737,30.516695666413995,0.12599210498948735,0.19219137204774617,0.1556103965842683,811,41,770,0.05055487053020962,True
8,7,26.340256922266605,35.35533905932737,30.516695666413995,0.19219137204774617,0.29317331822241716,0.23737182283699315,1704,192,1512,0.11267605633802817,True
8,8,26.340256922266605,35.35533905932737,30.516695666413995,0.29317331822241716,0.447213595499958,0.3620926590624291,3031,618,2413,0.20389310458594523,True
8,9,26.340256922266605,35.35533905932737,30.516695666413995,0.447213595499958,0.6821903207721969,0.5523448073149632,4343,1371,2972,0.3156804052498273,True
8,10,26.340256922266605,35.35533905932737,30.516695666413995,0.6821903207721969,1.040629440692656,0.8425599871529117,4680,2167,2513,0.46303418803418805,True
8,11,26.340256922266605,35.35533905932737,30.516695666413995,1.040629440692656,1.5874010519682002,1.2852611675704677,3538,2307,1231,0.652063312605992,True
8,12,26.340256922266605,35.35533905932737,30.516695666413995,1.5874010519682002,2.4214595525113247,1.960568142390089,1700,1339,361,0.7876470588235294,True
8,13,26.340256922266605,35.35533905932737,30.516695666413995,2.4214595525113247,3.6937523489595185,2.990697562442443,522,432,90,0.8275862068965517,True
8,14,26.340256922266605,35.35533905932737,30.516695666413995,3.6937523489595185,5.6345382276956855,4.5620816316516235,104,90,14,0.8653846153846154,True
8,15,26.340256922266605,35.35533905932737,30.516695666413995,5.6345382276956855,8.595059451754269,6.959108495362503,17,17,0,1.0,False
8,16,26.340256922266605,35.35533905932737,30.516695666413995,8.595059451754269,13.111109374690052,10.615590636131074,6,5,1,0.8333333333333334,False
