model,lrt_region,n_region,metric,n_finite,mean,median,q10,q25,q75,q90
h1,positive_below_threshold,100754,relative_min_eigenvalue,100745,0.0003206851536044576,2.219019394818007e-05,8.69831759969904e-08,1.938869402653634e-06,0.00014852716151625005,0.0006030020845763021
h1,positive_below_threshold,100754,log10_condition_number,98259,4.8232916641769386,4.610801442630676,3.207787379031003,3.8082379474955195,5.605151848815627,6.755227581769085
h1,positive_below_threshold,100754,log10_det_R,98259,-8.23423302868091,-7.29532638847777,-13.4703175321198,-10.033606378257936,-5.473752645873406,-4.341082081110792
h1,positive_below_threshold,100754,sqrt_det_R,98259,0.00292789410249085,0.00022507994779983383,1.840099199196958e-07,9.620481785859825e-06,0.0018328362980947026,0.006752412412628377
h1,positive_below_threshold,100754,volume_per_dimension,98259,0.25350496784850585,0.24663581032523624,0.07541774434911173,0.14583646726447702,0.34982749978396527,0.43475357299380446
h1,positive_below_threshold,100754,effective_rank,98259,2.319847082433313,2.310753255432323,1.567992666043499,1.8952533192448384,2.7287739244634364,3.08869863979067
h1,detected_alpha_1e-3,229921,max_abs_corr,229920,0.9661985909146366,0.9839199065658092,0.9062679993083994,0.9536959324647192,0.9958281161100848,0.9990741478909145
h1,detected_alpha_1e-3,229921,relative_min_eigenvalue,229920,0.0003841892686269396,7.950804765225898e-05,2.6355705294368195e-06,1.74039803756733e-05,0.00028423480852302394,0.0008419103460055199
h1,detected_alpha_1e-3,229921,log10_condition_number,229119,4.234847254613359,4.095559324991489,3.0733963926285703,3.5440250177967156,4.750563739706586,5.549607258938292
h1,detected_alpha_1e-3,229921,log10_det_R,229119,-6.922842984519322,-6.413543173885707,-10.137776582196933,-8.037688317111307,-5.1469481937701715,-4.18175844340966
h1,detected_alpha_1e-3,229921,sqrt_det_R,229119,0.003252368668894598,0.000621195660286034,8.53319576574213e-06,9.575376107199827e-05,0.0026700900176290262,0.008111866200975917
h1,detected_alpha_1e-3,229921,volume_per_dimension,229119,0.2947545453316035,0.2921043798191422,0.14295037034240085,0.2138910636873577,0.37246687096848724,0.4482498260779586
h1,detected_alpha_1e-3,229921,effective_rank,229119,2.4666985217071207,2.4718545335712934,1.79277640795523,2.1139517033092354,2.8212819872122994,3.1323468095328533
