bin_index,class,piE_true_left,piE_true_right,piE_true_center,n,n_covered,coverage68,wilson95_lower,wilson95_upper,shown_in_figure
9,confused_fspl_no_parallax,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,4711,0.3463206645592884,0.33836943876974834,0.35435866329175925,True
9,parallax_detected,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,22392,0.738985512029306,0.7340103979191182,0.7439000382625072,True
10,confused_fspl_no_parallax,0.31656885093401615,0.447213595499958,0.376263064955214,16283,5877,0.36092857581526744,0.3535854051565126,0.3683373500043926,True
10,parallax_detected,0.31656885093401615,0.447213595499958,0.376263064955214,39582,28676,0.7244707190136931,0.7200476685704118,0.7288502036267803,True
11,confused_fspl_no_parallax,0.447213595499958,0.6317740971984853,0.531543004423795,16550,6256,0.3780060422960725,0.3706477561568304,0.38542094789322817,True
11,parallax_detected,0.447213595499958,0.6317740971984853,0.531543004423795,43360,30771,0.7096632841328413,0.7053723740818459,0.7139170474346045,True
12,confused_fspl_no_parallax,0.6317740971984853,0.8925008405541612,0.7509053953661503,13917,5394,0.3875835309333908,0.37952127116348683,0.39570783339488996,True
12,parallax_detected,0.6317740971984853,0.8925008405541612,0.7509053953661503,37487,26243,0.7000560194200656,0.6953970353199196,0.7046740064697038,True
13,confused_fspl_no_parallax,0.8925008405541612,1.2608268587175546,1.060796413643391,9678,3726,0.38499690018598887,0.37534990984751765,0.39473514995564724,True
13,parallax_detected,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,17372,0.686884662528172,0.6811410793793898,0.6925714823454671,True
14,confused_fspl_no_parallax,1.2608268587175546,1.781157277876093,1.4985763028776429,5035,1954,0.3880834160873883,0.3747132289256211,0.4016242468194946,True
14,parallax_detected,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,9417,0.6920702579554641,0.6842604182076298,0.6997716797206411,True
15,confused_fspl_no_parallax,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,866,0.36772823779193203,0.3484837425317373,0.38740355177100494,True
15,parallax_detected,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,3919,0.6882683526519143,0.6761136162149639,0.7001692297531219,True
16,confused_fspl_no_parallax,2.5162227680951306,3.5546423088645214,2.99069756244244,805,327,0.4062111801242236,0.3728076070278097,0.4405056222171886,True
16,parallax_detected,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,1396,0.7018602312719959,0.6813834996982191,0.7215587396082594,True
17,confused_fspl_no_parallax,3.5546423088645214,5.021607031055999,4.224928024367186,239,113,0.47280334728033474,0.4104387974485161,0.5360283335630847,True
17,parallax_detected,3.5546423088645214,5.021607031055999,4.224928024367186,612,409,0.6683006535947712,0.6300506710660666,0.7044510047296483,True
18,confused_fspl_no_parallax,5.021607031055999,7.09397317177776,5.968512843039028,75,31,0.41333333333333333,0.30877729130406334,0.5263348413929563,True
18,parallax_detected,5.021607031055999,7.09397317177776,5.968512843039028,159,109,0.6855345911949685,0.60971093672005,0.7526046580141221,True
19,confused_fspl_no_parallax,7.09397317177776,10.021583738168333,8.431657380212412,16,6,0.375,0.18481232558863633,0.6135895945449727,False
19,parallax_detected,7.09397317177776,10.021583738168333,8.431657380212412,33,26,0.7878787878787878,0.6224835500784931,0.8932397846697919,True
20,confused_fspl_no_parallax,10.021583738168333,14.157389404949152,11.911316612178315,3,1,0.3333333333333333,0.06149194472039615,0.7923403991979523,False
20,parallax_detected,10.021583738168333,14.157389404949152,11.911316612178315,2,1,0.5,0.09453120573423074,0.9054687942657693,False
21,confused_fspl_no_parallax,14.157389404949152,20.0,16.826995813245542,0,0,,,,False
21,parallax_detected,14.157389404949152,20.0,16.826995813245542,1,0,0.0,0.0,0.7934506856227626,False
