model,lrt_region,n_events,metric,n_finite,median,q10,q90
h0,detected_alpha_1e-3,229921,h0_corr_volume_per_dimension,177178,0.37411648704510025,0.014867257456287922,0.6488251066140643
h0,detected_alpha_1e-3,229921,h0_corr_effective_rank,177178,2.266344178655912,1.7290880521967469,2.7773635414982505
h0,detected_alpha_1e-3,229921,h0_cov_log10_sqrt_det,177496,-1.8419387615282616,-23.05029800261405,1.6502777820143137
h0,detected_alpha_1e-3,229921,h0_corr_cauchy_valid_fraction,229921,0.9984820873256466,,
h0,detected_alpha_1e-3,229921,h0_corr_positive_definite_fraction,229921,0.7723000508870438,,
h1,negative,2978,h1_corr_max_abs,2973,0.9952478512441097,0.9487125759573027,0.9999667007811709
h1,negative,2978,h1_corr_min_eigenvalue,2973,5.442536614751735e-06,-5.26845392580109e-09,0.000414498258825984
h1,negative,2978,h1_corr_condition_number,2596,355962.8408671416,7754.650997471387,83019996.41345948
h1,negative,2978,h1_corr_log10_det,2596,-9.98738879497427,-15.994711622621562,-5.940977318217113
h1,negative,2978,h1_corr_sqrt_det,2596,1.0146282273948121e-05,1.00610726592881e-08,0.0010703310254688491
h1,negative,2978,h1_corr_volume_per_dimension,2596,0.14713555697083527,0.046463012815457935,0.3198296663208745
h1,negative,2978,h1_corr_effective_rank,2596,2.134749047898227,1.4937997417548363,2.8070113999967328
h1,negative,2978,h1_cov_log10_sqrt_det,2671,3.383746662227423,-2.2899866943639124,11.406458705940304
h1,negative,2978,h1_corr_cauchy_valid_fraction,2978,0.9674278038952318,,
h1,negative,2978,h1_corr_positive_definite_fraction,2978,0.8717259905977166,,
h1,positive_below_threshold,100754,h1_corr_max_abs,100745,0.9915274635777257,0.9286638575209254,0.999761980277141
h1,positive_below_threshold,100754,h1_corr_min_eigenvalue,100745,9.030162800594744e-05,4.0419651351873016e-07,0.0020715436694705557
h1,positive_below_threshold,100754,h1_corr_condition_number,98259,40813.274732187194,1613.5683960390425,5691511.141335336
h1,positive_below_threshold,100754,h1_corr_log10_det,98259,-7.29532638847777,-13.4703175321198,-4.341082081110792
h1,positive_below_threshold,100754,h1_corr_sqrt_det,98259,0.00022507994779983383,1.840099199196958e-07,0.006752412412628377
h1,positive_below_threshold,100754,h1_corr_volume_per_dimension,98259,0.24663581032523624,0.07541774434911173,0.43475357299380446
h1,positive_below_threshold,100754,h1_corr_effective_rank,98259,2.310753255432323,1.567992666043499,3.08869863979067
h1,positive_below_threshold,100754,h1_cov_log10_sqrt_det,98641,-0.720820931968817,-3.87304177861756,3.5307827588377356
h1,positive_below_threshold,100754,h1_corr_cauchy_valid_fraction,100754,0.9940151259503345,,
h1,positive_below_threshold,100754,h1_corr_positive_definite_fraction,100754,0.975236715167636,,
h1,detected_alpha_1e-3,229921,h1_corr_max_abs,229920,0.9839199065658092,0.9062679993083994,0.9990741478909145
