bin_index,class,piE_true_left,piE_true_right,piE_true_center,n,log10_relative_sigma68_q16,log10_relative_sigma68_median,log10_relative_sigma68_q84,shown_in_figure
9,confused_fspl_no_parallax,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,-0.22800081192831456,0.25397696749459187,1.0049240871041265,True
9,parallax_detected,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,-1.3143686573857252,-0.7755231146909864,-0.2561643045846651,True
10,confused_fspl_no_parallax,0.31656885093401615,0.447213595499958,0.376263064955214,16283,-0.23176081880418903,0.24891213552914873,1.0231872365469015,True
10,parallax_detected,0.31656885093401615,0.447213595499958,0.376263064955214,39582,-1.3028113936317138,-0.7595559396903403,-0.21264254538476668,True
11,confused_fspl_no_parallax,0.447213595499958,0.6317740971984853,0.531543004423795,16550,-0.2564464135422603,0.23686766999512243,1.082306280319565,True
11,parallax_detected,0.447213595499958,0.6317740971984853,0.531543004423795,43360,-1.2702156310071344,-0.7236183267571714,-0.15926742576368125,True
12,confused_fspl_no_parallax,0.6317740971984853,0.8925008405541612,0.7509053953661503,13917,-0.26721441372849586,0.24672802326701523,1.1440671730353682,True
12,parallax_detected,0.6317740971984853,0.8925008405541612,0.7509053953661503,37487,-1.247165081575256,-0.6957681575572989,-0.10085384755293901,True
13,confused_fspl_no_parallax,0.8925008405541612,1.2608268587175546,1.060796413643391,9678,-0.2736276989518239,0.27724426646529066,1.3367036213489492,True
13,parallax_detected,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,-1.2688142537974412,-0.6844020376980715,-0.03230016578909334,True
14,confused_fspl_no_parallax,1.2608268587175546,1.781157277876093,1.4985763028776429,5035,-0.28387234677410483,0.2992485043185909,1.4486443898720125,True
14,parallax_detected,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,-1.2719387431325408,-0.6913742220702437,0.006335703658419026,True
15,confused_fspl_no_parallax,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,-0.3014205851830478,0.3192746302669719,1.5143839154429872,True
15,parallax_detected,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,-1.2811587958270407,-0.693317446135018,0.029336060021488156,True
16,confused_fspl_no_parallax,2.5162227680951306,3.5546423088645214,2.99069756244244,805,-0.31208840158141515,0.3087110290755097,1.5676414343177716,True
16,parallax_detected,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,-1.263667102832274,-0.698794915239993,0.016496968211243773,True
17,confused_fspl_no_parallax,3.5546423088645214,5.021607031055999,4.224928024367186,239,-0.2901022113841779,0.1839030677976466,1.721590104875901,True
17,parallax_detected,3.5546423088645214,5.021607031055999,4.224928024367186,612,-1.2275614776049697,-0.6883443972086425,0.1960838678023106,True
18,confused_fspl_no_parallax,5.021607031055999,7.09397317177776,5.968512843039028,75,-0.5288895513054136,0.1090865861981282,1.468201724902922,True
18,parallax_detected,5.021607031055999,7.09397317177776,5.968512843039028,159,-1.2433667398144408,-0.6383814087288617,0.3020122152975185,True
