bin_index,class,component,piE_true_left,piE_true_right,piE_true_center,n,abs_error_q16,abs_error_median,abs_error_q84,shown_in_figure
10,parallax_detected,piEE,0.31656885093401615,0.447213595499958,0.376263064955214,39582,0.01116145443536864,0.06837361889454349,0.28628906268896076,True
11,confused_fspl_no_parallax,piEN,0.447213595499958,0.6317740971984853,0.531543004423795,16550,0.10455209845655548,0.4406869200871868,1.589193101942327,True
11,confused_fspl_no_parallax,piEE,0.447213595499958,0.6317740971984853,0.531543004423795,16550,0.13381931454568768,0.5586556592108777,1.8660448374678638,True
11,parallax_detected,piEN,0.447213595499958,0.6317740971984853,0.531543004423795,43360,0.009995709288080162,0.05979207236158393,0.2450852650389399,True
11,parallax_detected,piEE,0.447213595499958,0.6317740971984853,0.531543004423795,43360,0.011518034901730466,0.0736023697667017,0.2988115757820378,True
12,confused_fspl_no_parallax,piEN,0.6317740971984853,0.8925008405541612,0.7509053953661503,13919,0.09444693994927313,0.395433459416271,1.3595135233629898,True
12,confused_fspl_no_parallax,piEE,0.6317740971984853,0.8925008405541612,0.7509053953661503,13919,0.11723594229135897,0.4903802120191865,1.6232719414224035,True
12,parallax_detected,piEN,0.6317740971984853,0.8925008405541612,0.7509053953661503,37488,0.009885801441125726,0.05953425788259274,0.24883036263537592,True
12,parallax_detected,piEE,0.6317740971984853,0.8925008405541612,0.7509053953661503,37488,0.011528531977315463,0.07342694307336878,0.305383401078228,True
13,confused_fspl_no_parallax,piEN,0.8925008405541612,1.2608268587175546,1.060796413643391,9680,0.09115484796607957,0.3902525301724942,1.265339345072365,True
13,confused_fspl_no_parallax,piEE,0.8925008405541612,1.2608268587175546,1.060796413643391,9680,0.11430118071559639,0.4774369660113864,1.5291396036294935,True
13,parallax_detected,piEN,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,0.00914226592703717,0.056815738232805856,0.24410550881407905,True
13,parallax_detected,piEE,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,0.010818450945505926,0.06967265049058267,0.2932546527028246,True
14,confused_fspl_no_parallax,piEN,1.2608268587175546,1.781157277876093,1.4985763028776429,5036,0.08061652377245664,0.3542087039666939,1.1694266046274933,True
14,confused_fspl_no_parallax,piEE,1.2608268587175546,1.781157277876093,1.4985763028776429,5036,0.10456087528757424,0.4588693029352904,1.385118755492882,True
14,parallax_detected,piEN,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,0.008150591322335997,0.05071099742075852,0.22636860248072976,True
14,parallax_detected,piEE,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,0.009939552445284877,0.06581532223737264,0.2808705907613147,True
15,confused_fspl_no_parallax,piEN,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,0.07051402553861034,0.32499023864351173,1.1346281100513216,True
15,confused_fspl_no_parallax,piEE,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,0.09714665859472035,0.43973270686254495,1.4341163793791554,True
15,parallax_detected,piEN,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,0.008438518285423337,0.04750580787926814,0.21326784287922668,True
15,parallax_detected,piEE,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,0.009495775440636055,0.062291682797856955,0.2643318801239054,True
16,confused_fspl_no_parallax,piEN,2.5162227680951306,3.5546423088645214,2.99069756244244,806,0.07549138987032447,0.3051399481331841,1.0376585740724504,True
16,confused_fspl_no_parallax,piEE,2.5162227680951306,3.5546423088645214,2.99069756244244,806,0.08738601133637469,0.39704054948080025,1.3006094409892557,True
16,parallax_detected,piEN,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,0.00776652400839054,0.043363804756634455,0.1922687631406855,True
16,parallax_detected,piEE,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,0.010036666298552432,0.06113815965296441,0.2325974161867546,True
17,confused_fspl_no_parallax,piEN,3.5546423088645214,5.021607031055999,4.224928024367186,239,0.10229603074481126,0.3510878580800537,0.8996028764204368,True
17,confused_fspl_no_parallax,piEE,3.5546423088645214,5.021607031055999,4.224928024367186,239,0.08436409756910603,0.3629667709212017,1.1361490917447614,True
17,parallax_detected,piEN,3.5546423088645214,5.021607031055999,4.224928024367186,612,0.007430454142923654,0.04672371553308607,0.21030326176106776,True
17,parallax_detected,piEE,3.5546423088645214,5.021607031055999,4.224928024367186,612,0.009507079217727131,0.06357016465830062,0.2502146156204819,True
18,confused_fspl_no_parallax,piEN,5.021607031055999,7.09397317177776,5.968512843039028,75,0.07211657575696936,0.29456329283535754,0.898463924287181,True
18,confused_fspl_no_parallax,piEE,5.021607031055999,7.09397317177776,5.968512843039028,75,0.07626310127629198,0.35299620242019536,1.1980956118674952,True
18,parallax_detected,piEN,5.021607031055999,7.09397317177776,5.968512843039028,159,0.008241355043010427,0.04774488970189368,0.19068562857939375,True
18,parallax_detected,piEE,5.021607031055999,7.09397317177776,5.968512843039028,159,0.013196469968742705,0.06194348260194865,0.24331987511493913,True
19,confused_fspl_no_parallax,piEN,7.09397317177776,10.021583738168333,8.431657380212412,16,0.08359242190619713,0.23667680271927838,1.08173745474196,False
19,confused_fspl_no_parallax,piEE,7.09397317177776,10.021583738168333,8.431657380212412,16,0.3024012294873788,0.5353952960828121,2.520483142290406,False
19,parallax_detected,piEN,7.09397317177776,10.021583738168333,8.431657380212412,33,0.014095785748851564,0.05457507531660336,0.13421120955521323,True
19,parallax_detected,piEE,7.09397317177776,10.021583738168333,8.431657380212412,33,0.018297394175098663,0.06446225474088928,0.2069353143386544,True
20,confused_fspl_no_parallax,piEN,10.021583738168333,14.157389404949152,11.911316612178315,3,0.20531912906646926,0.2561061215755993,0.40654580013865255,False
20,confused_fspl_no_parallax,piEE,10.021583738168333,14.157389404949152,11.911316612178315,3,0.5667748221572111,0.7344998089599278,0.938953374733364,False
20,parallax_detected,piEN,10.021583738168333,14.157389404949152,11.911316612178315,2,0.014121956292084768,0.027837101749367276,0.04155224720664979,False
20,parallax_detected,piEE,10.021583738168333,14.157389404949152,11.911316612178315,2,0.00783807401592307,0.00817033020056272,0.008502586385202368,False
21,confused_fspl_no_parallax,piEN,14.157389404949152,20.0,16.826995813245542,0,,,,False
21,confused_fspl_no_parallax,piEE,14.157389404949152,20.0,16.826995813245542,0,,,,False
21,parallax_detected,piEN,14.157389404949152,20.0,16.826995813245542,1,0.8511851106610372,0.8511851106610372,0.8511851106610372,False
21,parallax_detected,piEE,14.157389404949152,20.0,16.826995813245542,1,0.4929521686839354,0.4929521686839354,0.4929521686839354,False
