bin_index,class,component,piE_true_left,piE_true_right,piE_true_center,n,relative_sigma_q16,relative_sigma_median,relative_sigma_q84,shown_in_figure
4,parallax_detected,piEN,0.03982788751949426,0.056264451559934,0.04733808454167833,244,0.07626073428331961,0.19565151391783792,0.4677407828131336,True
4,parallax_detected,piEE,0.03982788751949426,0.056264451559934,0.04733808454167833,244,0.07343840943327397,0.2091999596399422,0.48380963676149397,True
5,confused_fspl_no_parallax,piEN,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,0.6582787927578814,2.7210212853808198,15.80182421550681,True
5,confused_fspl_no_parallax,piEE,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,0.7546698692419361,3.122050610732585,20.265333776424722,True
5,parallax_detected,piEN,0.056264451559934,0.07948421838317876,0.06687403049764219,990,0.060442759082792404,0.18011679969974229,0.518035868362184,True
5,parallax_detected,piEE,0.056264451559934,0.07948421838317876,0.06687403049764219,990,0.06691891556149658,0.18867408921513287,0.5235205673666313,True
6,confused_fspl_no_parallax,piEN,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,0.5624025107597037,2.1754413269398323,12.919155832176104,True
6,confused_fspl_no_parallax,piEE,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,0.6437422017861606,2.398414538743419,16.10696579216445,True
6,parallax_detected,piEN,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,0.05257317708898409,0.16200109118127196,0.5053829312832298,True
6,parallax_detected,piEE,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,0.05984754485891647,0.17659212948287764,0.5228183916103235,True
7,confused_fspl_no_parallax,piEN,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,0.5467942453264316,2.015626238641854,11.028664231636593,True
7,confused_fspl_no_parallax,piEE,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,0.6110102341997642,2.170970686856287,12.374253998158755,True
7,parallax_detected,piEN,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,0.042910393576952206,0.15179507324222538,0.4890887581144153,True
7,parallax_detected,piEE,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,0.049239381695299164,0.16572360803052094,0.5264501803793521,True
8,confused_fspl_no_parallax,piEN,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,0.5273931249092145,1.831319086601067,10.0311166686237,True
8,confused_fspl_no_parallax,piEE,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,0.5811312317155134,1.9688503983220529,11.963747308158174,True
8,parallax_detected,piEN,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,0.03604074097236495,0.13885154504497096,0.4928034614769845,True
8,parallax_detected,piEE,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,0.041675521785567826,0.15500993617005485,0.5497399594401758,True
9,confused_fspl_no_parallax,piEN,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,0.5090287936578812,1.7290586346933023,9.799115148657885,True
9,confused_fspl_no_parallax,piEE,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,0.5631822837487628,1.9703099699934885,11.815182539175602,True
9,parallax_detected,piEN,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,0.03222865420023693,0.1353383323220035,0.5147345362459513,True
9,parallax_detected,piEE,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,0.03896742992976291,0.1514468952961877,0.5783898116660817,True
10,confused_fspl_no_parallax,piEN,0.31656885093401615,0.447213595499958,0.376263064955214,16285,0.4811921800960019,1.6679246150372813,10.366603124198036,True
10,confused_fspl_no_parallax,piEE,0.31656885093401615,0.447213595499958,0.376263064955214,16285,0.5569704273927535,1.9394870084609295,12.373888160833106,True
10,parallax_detected,piEN,0.31656885093401615,0.447213595499958,0.376263064955214,39582,0.03306888725588302,0.13996564922450694,0.5569442550630272,True
10,parallax_detected,piEE,0.31656885093401615,0.447213595499958,0.376263064955214,39582,0.040683568992735133,0.1606499482453533,0.6552498511215021,True
11,confused_fspl_no_parallax,piEN,0.447213595499958,0.6317740971984853,0.531543004423795,16550,0.45305239316865364,1.607023579808057,11.529461558915102,True
11,confused_fspl_no_parallax,piEE,0.447213595499958,0.6317740971984853,0.531543004423795,16550,0.5204421156449949,1.9025434238709473,13.953423483342014,True
11,parallax_detected,piEN,0.447213595499958,0.6317740971984853,0.531543004423795,43360,0.03650739703412696,0.14719432960320977,0.6402429510902722,True
11,parallax_detected,piEE,0.447213595499958,0.6317740971984853,0.531543004423795,43360,0.044121364237317905,0.17505457952419218,0.7583002354255136,True
12,confused_fspl_no_parallax,piEN,0.6317740971984853,0.8925008405541612,0.7509053953661503,13919,0.4251597150759314,1.588995021710999,13.245970653794231,True
12,confused_fspl_no_parallax,piEE,0.6317740971984853,0.8925008405541612,0.7509053953661503,13919,0.505224197973312,1.9915002829465716,15.842671112563423,True
12,parallax_detected,piEN,0.6317740971984853,0.8925008405541612,0.7509053953661503,37488,0.038699810405196954,0.15315562984729209,0.7318066455053921,True
12,parallax_detected,piEE,0.6317740971984853,0.8925008405541612,0.7509053953661503,37488,0.04527939743975538,0.18585887792878264,0.8852015757354917,True
13,confused_fspl_no_parallax,piEN,0.8925008405541612,1.2608268587175546,1.060796413643391,9680,0.4061581143414037,1.7139032226164173,20.941287895661098,True
13,confused_fspl_no_parallax,piEE,0.8925008405541612,1.2608268587175546,1.060796413643391,9680,0.5117677423663178,2.1258717332681165,24.058341597164002,True
13,parallax_detected,piEN,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,0.037019842245248805,0.15178742150482347,0.8578334685397211,True
