bin_index,delta_chi2_center,parameter_1,parameter_2,n_total,n_positive_definite,abs_corr_q16,abs_corr_median,abs_corr_q84
10,3.119394809814998,tE,piEE,16584,16230,0.37694866278958306,0.831878548769261,0.9819414191557453
10,3.119394809814998,rho,piEN,16584,16230,0.13852413744966352,0.47790844055204007,0.8626050009111184
10,3.119394809814998,rho,piEE,16584,16230,0.1401307851809658,0.47393366342294996,0.8514622544145815
10,3.119394809814998,piEN,piEE,16584,16230,0.33351142800724237,0.8054131692468618,0.9755383185748029
11,5.106183616307982,t0,u0,16155,15886,0.1576403056293451,0.5518254847788966,0.9124188350244404
11,5.106183616307982,t0,tE,16155,15886,0.1772265201757961,0.565739326494805,0.9194021938525458
11,5.106183616307982,t0,rho,16155,15886,0.09949144371191129,0.3853886911300104,0.8285134542653958
11,5.106183616307982,t0,piEN,16155,15886,0.16193345774677192,0.536321971211835,0.9119460026578529
11,5.106183616307982,t0,piEE,16155,15886,0.16289835055549381,0.5516672955325348,0.9209606328817438
11,5.106183616307982,u0,tE,16155,15886,0.4621385851508978,0.9145092890633553,0.9967606987556772
11,5.106183616307982,u0,rho,16155,15886,0.24426082409137626,0.7570123645571935,0.9920334640556319
11,5.106183616307982,u0,piEN,16155,15886,0.2654109610736503,0.738284978440013,0.9686666328867146
11,5.106183616307982,u0,piEE,16155,15886,0.26211123082729637,0.7205883850063695,0.9653556195008576
11,5.106183616307982,tE,rho,16155,15886,0.1505825636797921,0.5153963660893375,0.8990895679219001
11,5.106183616307982,tE,piEN,16155,15886,0.35912095258295124,0.827076453647657,0.979019786657787
11,5.106183616307982,tE,piEE,16155,15886,0.3691728374348788,0.831183460565651,0.9812542137989888
11,5.106183616307982,rho,piEN,16155,15886,0.13159535572067893,0.46947437323383956,0.8518631604615442
11,5.106183616307982,rho,piEE,16155,15886,0.13398733425033613,0.47504247763959995,0.8473178418845677
11,5.106183616307982,piEN,piEE,16155,15886,0.3300653654369114,0.7992428552950233,0.9742718853447109
12,8.05120292602945,t0,u0,15326,15126,0.15982920786192578,0.5506548751053064,0.9136387291602829
12,8.05120292602945,t0,tE,15326,15126,0.1717376264706319,0.5622686482283217,0.917053937201638
12,8.05120292602945,t0,rho,15326,15126,0.10012862713627128,0.37592636387838696,0.8084817718685239
12,8.05120292602945,t0,piEN,15326,15126,0.15947544249399917,0.5343679196661179,0.9150796691755263
12,8.05120292602945,t0,piEE,15326,15126,0.15942380957535937,0.5427415263298041,0.9162310215685243
12,8.05120292602945,u0,tE,15326,15126,0.44870526704229335,0.9111350650637967,0.9967652708921213
12,8.05120292602945,u0,rho,15326,15126,0.23409297619315828,0.7331904521221121,0.9897552440199534
12,8.05120292602945,u0,piEN,15326,15126,0.2669614650457239,0.7368330958839304,0.9701316483500374
12,8.05120292602945,u0,piEE,15326,15126,0.2521174036574414,0.7171361859614748,0.9664040793791249
12,8.05120292602945,tE,rho,15326,15126,0.14561493213318158,0.4961321031703513,0.881739263976779
12,8.05120292602945,tE,piEN,15326,15126,0.3609573812721335,0.8224828055100395,0.9775013255199022
12,8.05120292602945,tE,piEE,15326,15126,0.3731628855948495,0.8275458669705174,0.9796791617226022
12,8.05120292602945,rho,piEN,15326,15126,0.13045587908218184,0.46278480038719016,0.8486915471837851
12,8.05120292602945,rho,piEE,15326,15126,0.13114534211311754,0.4601937042336005,0.8388856597141776
12,8.05120292602945,piEN,piEE,15326,15126,0.3256010481959274,0.7919681503384894,0.9712433629273756
13,12.416608401582662,t0,u0,14661,14475,0.1633155023859327,0.5390053070793891,0.8968980436371013
13,12.416608401582662,t0,tE,14661,14475,0.168976644196208,0.5464236830103182,0.8971395455001497
13,12.416608401582662,t0,rho,14661,14475,0.09493355407805662,0.3595028740177755,0.7825524290241369
13,12.416608401582662,t0,piEN,14661,14475,0.163737836244239,0.5332498367268574,0.9040013474124489
13,12.416608401582662,t0,piEE,14661,14475,0.16092941043298023,0.538849721928674,0.9129902528665154
13,12.416608401582662,u0,tE,14661,14475,0.45714523826905673,0.9150402416220129,0.9965756208174054
13,12.416608401582662,u0,rho,14661,14475,0.22339631296778012,0.6965077338783954,0.9850435511947601
13,12.416608401582662,u0,piEN,14661,14475,0.2657285716490154,0.7343610213936538,0.966540361743936
13,12.416608401582662,u0,piEE,14661,14475,0.2552355874835216,0.7231460475417061,0.9649012084388644
13,12.416608401582662,tE,rho,14661,14475,0.14214544637322044,0.48020564345864575,0.8618474129326393
13,12.416608401582662,tE,piEN,14661,14475,0.35617559329159754,0.8134644957183778,0.9745208551254414
13,12.416608401582662,tE,piEE,14661,14475,0.3634378932483754,0.8240716569927542,0.977876881557377
13,12.416608401582662,rho,piEN,14661,14475,0.13172520287511408,0.44884229054967556,0.8341904289608111
13,12.416608401582662,rho,piEE,14661,14475,0.12732122273097815,0.44507217135864907,0.8296805961193716
13,12.416608401582662,piEN,piEE,14661,14475,0.3210586581648281,0.780553887821604,0.9683456637076971
14,18.8874539077849,t0,u0,14507,14382,0.15243901862091214,0.5190442417724533,0.8895200987781906
14,18.8874539077849,t0,tE,14507,14382,0.16228266370070293,0.5316805844390308,0.8940755492571002
14,18.8874539077849,t0,rho,14507,14382,0.0918017285250228,0.34239299686862557,0.7631248253224161
14,18.8874539077849,t0,piEN,14507,14382,0.16203062153000647,0.5275135892816344,0.9071307332268206
14,18.8874539077849,t0,piEE,14507,14382,0.15827785017885543,0.5339086706093794,0.902751950595616
14,18.8874539077849,u0,tE,14507,14382,0.46418378248155545,0.9119826583748077,0.9965622759730136
14,18.8874539077849,u0,rho,14507,14382,0.21613930865806916,0.6735657930811634,0.9811015887406149
14,18.8874539077849,u0,piEN,14507,14382,0.2598715329421056,0.7279516696575076,0.9660939036071511
14,18.8874539077849,u0,piEE,14507,14382,0.259319469909153,0.7162548565964112,0.9642141959534588
14,18.8874539077849,tE,rho,14507,14382,0.14444939669350793,0.47846215780277696,0.8553005253097177
14,18.8874539077849,tE,piEN,14507,14382,0.3434107273868341,0.8050227697888839,0.9736557449229373
14,18.8874539077849,tE,piEE,14507,14382,0.3507152128465683,0.817868879991315,0.9762574179722399
14,18.8874539077849,rho,piEN,14507,14382,0.13538233413953438,0.4458911268002719,0.8229920161787733
14,18.8874539077849,rho,piEE,14507,14382,0.13550440463287222,0.4536417086367342,0.820893079769842
14,18.8874539077849,piEN,piEE,14507,14382,0.30551981373159337,0.7665098740127114,0.9677186339097346
15,28.479195568353415,t0,u0,14846,14712,0.15444264405502628,0.5213275262792337,0.8819337483911037
15,28.479195568353415,t0,tE,14846,14712,0.1745746596866262,0.5387905710889866,0.8843075369053923
15,28.479195568353415,t0,rho,14846,14712,0.0921537031577149,0.33286955892559883,0.752668647617173
15,28.479195568353415,t0,piEN,14846,14712,0.16900972654061377,0.528926287998347,0.9002475888207799
15,28.479195568353415,t0,piEE,14846,14712,0.17362198234020298,0.5422173300777091,0.8979251536501953
15,28.479195568353415,u0,tE,14846,14712,0.4522477933671615,0.9090490013558328,0.9962979416847099
15,28.479195568353415,u0,rho,14846,14712,0.21050177447426643,0.6567055008515192,0.9763683057243558
15,28.479195568353415,u0,piEN,14846,14712,0.2692934781859677,0.7316295238737159,0.9631671148865081
15,28.479195568353415,u0,piEE,14846,14712,0.25984510098870417,0.7158023744889042,0.963078047845966
15,28.479195568353415,tE,rho,14846,14712,0.13699484090768507,0.473638441253297,0.8388032733248814
15,28.479195568353415,tE,piEN,14846,14712,0.35092738486797426,0.8128055133294303,0.9737457625278808
15,28.479195568353415,tE,piEE,14846,14712,0.36222564477709096,0.8176474421029635,0.9756781405640398
15,28.479195568353415,rho,piEN,14846,14712,0.12731751593528534,0.43576914928439303,0.8145325583240015
15,28.479195568353415,rho,piEE,14846,14712,0.13289286776964024,0.4506601544670029,0.8078572354865352
15,28.479195568353415,piEN,piEE,14846,14712,0.3016263703691103,0.7620474787298306,0.9647113449999509
16,42.69704515151887,t0,u0,15005,14903,0.15762201522751318,0.507300613662754,0.8663407582188254
16,42.69704515151887,t0,tE,15005,14903,0.16761673761215742,0.5245320155309587,0.8707301633624208
16,42.69704515151887,t0,rho,15005,14903,0.09576400961105215,0.3275321946120784,0.7312455370590556
16,42.69704515151887,t0,piEN,15005,14903,0.1613242414835365,0.5172016170644685,0.8873243618920663
16,42.69704515151887,t0,piEE,15005,14903,0.16544185694854693,0.5235204855687607,0.8851447273369366
16,42.69704515151887,u0,tE,15005,14903,0.4551645391710233,0.9056798050394181,0.9959533192466475
16,42.69704515151887,u0,rho,15005,14903,0.21202456489004193,0.6480236880134838,0.9714413411136715
16,42.69704515151887,u0,piEN,15005,14903,0.2672190350012171,0.7239152680687301,0.9616809765710416
16,42.69704515151887,u0,piEE,15005,14903,0.25852143775431524,0.7192422583647071,0.9600121382299912
16,42.69704515151887,tE,rho,15005,14903,0.14194331391461637,0.4656348143181898,0.8379491818574628
16,42.69704515151887,tE,piEN,15005,14903,0.3442781365761742,0.804027018465181,0.9713422965241966
16,42.69704515151887,tE,piEE,15005,14903,0.3595110490402101,0.8139223844484788,0.9744419151520325
16,42.69704515151887,rho,piEN,15005,14903,0.1279073509818976,0.4449089896516999,0.8136245890383523
16,42.69704515151887,rho,piEE,15005,14903,0.1353315471500157,0.4569675076538661,0.8139531856679852
16,42.69704515151887,piEN,piEE,15005,14903,0.29733597407826723,0.7569141221277298,0.963775514401433
17,63.772179774935864,t0,u0,14915,14830,0.15155267566709613,0.5100025380863074,0.8641626610449245
17,63.772179774935864,t0,tE,14915,14830,0.16101682398043368,0.5180196317128662,0.8694335418763268
17,63.772179774935864,t0,rho,14915,14830,0.09071680602913104,0.3251108237826512,0.7265076705608141
17,63.772179774935864,t0,piEN,14915,14830,0.1578829024740337,0.5082964997506487,0.886801388127467
17,63.772179774935864,t0,piEE,14915,14830,0.15990088587261658,0.5193269328161652,0.8857042560663054
17,63.772179774935864,u0,tE,14915,14830,0.44999760150648266,0.9017310517290781,0.9958841972413932
17,63.772179774935864,u0,rho,14915,14830,0.2118627386645324,0.6386875988448462,0.9667812919430612
17,63.772179774935864,u0,piEN,14915,14830,0.25658778415665584,0.7229516840870496,0.9632257510087908
17,63.772179774935864,u0,piEE,14915,14830,0.26181660423165465,0.7180436783382897,0.9612794072818573
17,63.772179774935864,tE,rho,14915,14830,0.1415550823449588,0.4700193746435346,0.8300417002344935
17,63.772179774935864,tE,piEN,14915,14830,0.35783994806013103,0.8090230770456357,0.9714906743446016
17,63.772179774935864,tE,piEE,14915,14830,0.3638932424145307,0.8148910116143269,0.9740190308408531
17,63.772179774935864,rho,piEN,14915,14830,0.13105734069691516,0.4382719950245503,0.8084661979756187
17,63.772179774935864,rho,piEE,14915,14830,0.13421173661655536,0.45696562394552703,0.8093255395069363
17,63.772179774935864,piEN,piEE,14915,14830,0.2872981554550863,0.7517585342414719,0.9617776667174404
18,95.01187582018416,t0,u0,15142,15079,0.1548701966961638,0.5018083317231165,0.8545090291887294
18,95.01187582018416,t0,tE,15142,15079,0.161201988544564,0.5166130305264969,0.8618096468752461
18,95.01187582018416,t0,rho,15142,15079,0.09129050353281082,0.32011299685956024,0.7109117648046669
18,95.01187582018416,t0,piEN,15142,15079,0.15955260325672357,0.5101791729808524,0.8762553966303779
18,95.01187582018416,t0,piEE,15142,15079,0.16234133635623596,0.5165558501231484,0.8738060171217351
18,95.01187582018416,u0,tE,15142,15079,0.44646204551299834,0.9016340290138464,0.9953660784263378
18,95.01187582018416,u0,rho,15142,15079,0.20823294891547073,0.6292363790081634,0.9619726965938108
18,95.01187582018416,u0,piEN,15142,15079,0.25539725903151655,0.7297789190013072,0.961913055303072
18,95.01187582018416,u0,piEE,15142,15079,0.2596978639065611,0.7158672288416715,0.9581277446134229
18,95.01187582018416,tE,rho,15142,15079,0.14074487599235402,0.4638471438973779,0.8273361693954331
18,95.01187582018416,tE,piEN,15142,15079,0.34382413047845894,0.8108082378005627,0.9702116685781914
18,95.01187582018416,tE,piEE,15142,15079,0.3587632504339066,0.8159563268044745,0.9735181157932751
18,95.01187582018416,rho,piEN,15142,15079,0.13406172166621386,0.4481857223329939,0.8067112289105914
18,95.01187582018416,rho,piEE,15142,15079,0.13676916820599588,0.46433046707928327,0.8121463107865099
18,95.01187582018416,piEN,piEE,15142,15079,0.29872639779969845,0.7453872605739897,0.9583348793704254
19,141.31851283284362,t0,u0,14767,14705,0.1462586665928953,0.5003183515454421,0.8506922648841143
19,141.31851283284362,t0,tE,14767,14705,0.1541116539947781,0.5046844714883181,0.8570075228894528
19,141.31851283284362,t0,rho,14767,14705,0.08909814125579846,0.31191319714735394,0.6901536842388892
19,141.31851283284362,t0,piEN,14767,14705,0.15565542330380763,0.5010780067471516,0.8720896576697019
19,141.31851283284362,t0,piEE,14767,14705,0.1620353761687881,0.5058802507513506,0.8666484211055439
19,141.31851283284362,u0,tE,14767,14705,0.44489731685333966,0.8972008408123003,0.9951507506121419
19,141.31851283284362,u0,rho,14767,14705,0.21332776556169894,0.6214529889057456,0.9520611290021902
19,141.31851283284362,u0,piEN,14767,14705,0.262748610055585,0.7277954117556082,0.962482367433122
19,141.31851283284362,u0,piEE,14767,14705,0.2612934738066579,0.7201626342174888,0.9619258890240574
19,141.31851283284362,tE,rho,14767,14705,0.14512088491566477,0.46815636353315215,0.8150238169881955
19,141.31851283284362,tE,piEN,14767,14705,0.34523781702342216,0.8101811819778633,0.9700636789041551
19,141.31851283284362,tE,piEE,14767,14705,0.3570604989708397,0.818957036719874,0.9753702513569019
19,141.31851283284362,rho,piEN,14767,14705,0.13505099774374069,0.4500136578602465,0.8040001224693198
19,141.31851283284362,rho,piEE,14767,14705,0.14259654258387963,0.4667252753441062,0.8087155654381118
19,141.31851283284362,piEN,piEE,14767,14705,0.28578183147829994,0.7398941511299192,0.9559950254425723
20,209.9588935944345,t0,u0,14669,14626,0.14608146835120991,0.49131327241216105,0.831301390879802
20,209.9588935944345,t0,tE,14669,14626,0.151733340061575,0.4940196763527867,0.8390348361105153
20,209.9588935944345,t0,rho,14669,14626,0.08634658122501497,0.30379639910228573,0.6740049483603555
20,209.9588935944345,t0,piEN,14669,14626,0.15695279670719664,0.48758298359517294,0.86115975354342
20,209.9588935944345,t0,piEE,14669,14626,0.16095761327389013,0.49339257785465274,0.8569868608052474
20,209.9588935944345,u0,tE,14669,14626,0.445601022681517,0.8970660530188752,0.9943905519890675
20,209.9588935944345,u0,rho,14669,14626,0.20198125819793086,0.6094881347383697,0.9461802222409811
20,209.9588935944345,u0,piEN,14669,14626,0.265633113164146,0.724608648861206,0.9608997288983782
20,209.9588935944345,u0,piEE,14669,14626,0.2595619712874279,0.7154264043128562,0.9593478987041557
20,209.9588935944345,tE,rho,14669,14626,0.14172246075298509,0.46384618348529716,0.8133037969583691
20,209.9588935944345,tE,piEN,14669,14626,0.353678774827958,0.8097753541365103,0.9697242788115601
20,209.9588935944345,tE,piEE,14669,14626,0.36643845416461446,0.8215609322584221,0.974552142818605
20,209.9588935944345,rho,piEN,14669,14626,0.13394412516332746,0.4557300121591725,0.8035736244729379
20,209.9588935944345,rho,piEE,14669,14626,0.14156678994221716,0.46491796351843484,0.8020990684729337
20,209.9588935944345,piEN,piEE,14669,14626,0.2790671160763447,0.7374193419364701,0.9543153849926389
21,311.70460814088506,t0,u0,14367,14328,0.1465498706464241,0.48376080794530596,0.8224301935719994
21,311.70460814088506,t0,tE,14367,14328,0.15430261966331207,0.4935408037790767,0.8281182759070885
21,311.70460814088506,t0,rho,14367,14328,0.08707884346896093,0.30253020313204904,0.6670935253259085
21,311.70460814088506,t0,piEN,14367,14328,0.15446131658267184,0.4851592016620049,0.8538570637977524
21,311.70460814088506,t0,piEE,14367,14328,0.15141487640423268,0.4876033015892404,0.8551787466531949
21,311.70460814088506,u0,tE,14367,14328,0.42963258439465524,0.8933162236895358,0.993782904109676
21,311.70460814088506,u0,rho,14367,14328,0.2114475454212712,0.6195723779851354,0.9409570154581774
21,311.70460814088506,u0,piEN,14367,14328,0.2643328537846376,0.7266007020242295,0.9590821947744355
21,311.70460814088506,u0,piEE,14367,14328,0.2613499019859344,0.7212467577262904,0.960254833732932
21,311.70460814088506,tE,rho,14367,14328,0.13927695608789167,0.4618340577103053,0.8105006262785757
21,311.70460814088506,tE,piEN,14367,14328,0.34438544100229185,0.8009998052014178,0.9678069759910721
21,311.70460814088506,tE,piEE,14367,14328,0.3580840341362481,0.8172958306435477,0.9755788884133513
21,311.70460814088506,rho,piEN,14367,14328,0.1395258014020239,0.4551436300341888,0.7998580136698676
21,311.70460814088506,rho,piEE,14367,14328,0.14119032268949733,0.466896176203334,0.8016727794865715
21,311.70460814088506,piEN,piEE,14367,14328,0.27383487217732494,0.727817180848377,0.9525834212170601
22,462.52239664535387,t0,u0,13917,13900,0.14353596232961424,0.4762473486188208,0.813964315738083
22,462.52239664535387,t0,tE,13917,13900,0.15056828360823712,0.4802159282309992,0.8212485650258504
22,462.52239664535387,t0,rho,13917,13900,0.08322670422376703,0.29630994912478414,0.6583343120318256
22,462.52239664535387,t0,piEN,13917,13900,0.1459224686273473,0.47299706806197195,0.8476141443159311
22,462.52239664535387,t0,piEE,13917,13900,0.15220012068055122,0.48528537039682285,0.8450809617467235
22,462.52239664535387,u0,tE,13917,13900,0.4359748199521049,0.8941359225123036,0.9934470795944151
