bin_index,class,piE_true_left,piE_true_right,piE_true_center,n,delta_log10_piE_q16,delta_log10_piE_median,delta_log10_piE_q84,shown_in_figure
8,confused_fspl_no_parallax,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,-0.14793532677134816,0.16027034573303525,0.6551859614113231,True
8,parallax_detected,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,-0.050627378046258935,0.001018901578418124,0.06675369890708138,True
9,confused_fspl_no_parallax,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,-0.15928421627277364,0.13610267302874884,0.5824016638285995,True
9,parallax_detected,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,-0.05436072559432208,0.00022229551735597006,0.06305384844687188,True
10,confused_fspl_no_parallax,0.31656885093401615,0.447213595499958,0.376263064955214,16285,-0.18464400652106427,0.1050871235803967,0.5229246182656576,True
10,parallax_detected,0.31656885093401615,0.447213595499958,0.376263064955214,39582,-0.058711408447569814,8.881657051630772e-05,0.06363006948942726,True
11,confused_fspl_no_parallax,0.447213595499958,0.6317740971984853,0.531543004423795,16550,-0.20382176413032965,0.07431397340350607,0.45437830266132495,True
11,parallax_detected,0.447213595499958,0.6317740971984853,0.531543004423795,43360,-0.06430792505898525,0.00025013319570610853,0.06546882024932943,True
12,confused_fspl_no_parallax,0.6317740971984853,0.8925008405541612,0.7509053953661503,13919,-0.22915209660949348,0.040774303218183185,0.38993017329851104,True
12,parallax_detected,0.6317740971984853,0.8925008405541612,0.7509053953661503,37488,-0.06621597494325701,0.00014839763281509396,0.06443416243652901,True
13,confused_fspl_no_parallax,0.8925008405541612,1.2608268587175546,1.060796413643391,9680,-0.24150071358399403,0.0312916557335295,0.36681234080596264,True
13,parallax_detected,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,-0.06830476241312261,0.00012624546104429737,0.06100216440772662,True
14,confused_fspl_no_parallax,1.2608268587175546,1.781157277876093,1.4985763028776429,5036,-0.24621223480105647,0.017866969461975937,0.336709067927182,True
14,parallax_detected,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,-0.06756335942344333,-0.00046437720949588334,0.05626455984037842,True
15,confused_fspl_no_parallax,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,-0.2548395475152055,0.014634608504496422,0.33060420090892484,True
15,parallax_detected,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,-0.0610533193544884,-2.968474814413743e-05,0.05693183856365815,True
16,confused_fspl_no_parallax,2.5162227680951306,3.5546423088645214,2.99069756244244,806,-0.263664721520837,0.004978849356901368,0.29061946427683577,True
16,parallax_detected,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,-0.05945125131023864,-0.0006002291312739507,0.04974293803979384,True
17,confused_fspl_no_parallax,3.5546423088645214,5.021607031055999,4.224928024367186,239,-0.315051231669555,-0.007078216172228713,0.2682352644773557,True
17,parallax_detected,3.5546423088645214,5.021607031055999,4.224928024367186,612,-0.0675822422020882,-0.00020414244728979416,0.05894096823592351,True
18,confused_fspl_no_parallax,5.021607031055999,7.09397317177776,5.968512843039028,75,-0.302323187447881,0.003910117193336338,0.28377047442273956,True
18,parallax_detected,5.021607031055999,7.09397317177776,5.968512843039028,159,-0.035237842782189034,0.008373180100598947,0.0692131324925854,True
